,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride,dropout_rate
117,2,58,0.36565129776000976,0.87632,40.97395443916321,2387.624039411545,0.8373,1506430,0.01,128,0.9,32,2,3,1,0.3
118,2,59,0.36308750621795655,0.87816,41.18747639656067,2428.8282556533813,0.8323,1506430,0.01,128,0.9,32,2,3,1,0.3
119,2,60,0.35996811092376707,0.87984,41.38420796394348,2470.2294187545776,0.8374,1506430,0.01,128,0.9,32,2,3,1,0.3
120,3,1,1.8702582586669922,0.29558,41.10720419883728,41.3525493144989,0.3845,1506430,0.01,128,0.9,32,2,3,1,0.5
121,3,2,1.5205705938720704,0.44504,41.06715536117554,82.4356415271759,0.4885,1506430,0.01,128,0.9,32,2,3,1,0.5
122,3,3,1.3394889434814452,0.52266,41.19141435623169,123.64301180839539,0.55,1506430,0.01,128,0.9,32,2,3,1,0.5
123,3,4,1.2266960076904296,0.57216,41.01984620094299,164.67879939079285,0.5962,1506430,0.01,128,0.9,32,2,3,1,0.5
124,3,5,1.1553588710021974,0.60038,41.17807221412659,205.87379479408264,0.6093,1506430,0.01,128,0.9,32,2,3,1,0.5
125,3,6,1.0970940922546386,0.62304,41.18057584762573,247.07130122184753,0.6231,1506430,0.01,128,0.9,32,2,3,1,0.5
126,3,7,1.0552981101989747,0.64126,41.14208245277405,288.2298195362091,0.6445,1506430,0.01,128,0.9,32,2,3,1,0.5
127,3,8,1.0026041073608398,0.66134,41.15475535392761,329.4015338420868,0.6696,1506430,0.01,128,0.9,32,2,3,1,0.5
128,3,9,0.9745355751037598,0.6727,41.022008419036865,370.43852043151855,0.6703,1506430,0.01,128,0.9,32,2,3,1,0.5
129,3,10,0.9412534298706055,0.68222,40.973642110824585,411.42812299728394,0.6851,1506430,0.01,128,0.9,32,2,3,1,0.5
130,3,11,0.9124270207214356,0.6967,40.969521045684814,452.41362047195435,0.6928,1506430,0.01,128,0.9,32,2,3,1,0.5
131,3,12,0.8960184815979004,0.70172,41.08559441566467,493.5156743526459,0.6997,1506430,0.01,128,0.9,32,2,3,1,0.5
132,3,13,0.871403642578125,0.71108,41.042426109313965,534.5740585327148,0.714,1506430,0.01,128,0.9,32,2,3,1,0.5
133,3,14,0.8486200300598145,0.71838,41.26168155670166,575.8516705036163,0.7176,1506430,0.01,128,0.9,32,2,3,1,0.5
134,3,15,0.8288491497802735,0.72642,41.13286066055298,616.9995181560516,0.7168,1506430,0.01,128,0.9,32,2,3,1,0.5
135,3,16,0.8138577813720703,0.73032,41.19798016548157,658.2153029441833,0.7274,1506430,0.01,128,0.9,32,2,3,1,0.5
136,3,17,0.7909784880065918,0.74094,41.09817719459534,699.3299171924591,0.7289,1506430,0.01,128,0.9,32,2,3,1,0.5
137,3,18,0.7847904819488526,0.74296,41.13805532455444,740.4840517044067,0.7325,1506430,0.01,128,0.9,32,2,3,1,0.5
138,3,19,0.7672335708618164,0.74706,40.990586042404175,781.4905948638916,0.7343,1506430,0.01,128,0.9,32,2,3,1,0.5
