,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride
171,6,22,0.08914246200084686,0.97098,36.53848433494568,801.6426703929901,0.6468,2154430,0.01,128,0.9,32,2,7,1
172,6,23,0.07524168861150742,0.97454,36.397740840911865,838.0583302974701,0.6511,2154430,0.01,128,0.9,32,2,7,1
173,6,24,0.06745562674999236,0.97778,36.41583442687988,874.4910843372345,0.6525,2154430,0.01,128,0.9,32,2,7,1
174,6,25,0.05323139430046082,0.98274,36.4136528968811,910.9196999073029,0.65,2154430,0.01,128,0.9,32,2,7,1
175,6,26,0.05829136416435242,0.98122,36.40114736557007,947.3367786407471,0.6503,2154430,0.01,128,0.9,32,2,7,1
176,6,27,0.04737119957566261,0.98456,36.39966559410095,983.7523484230042,0.6522,2154430,0.01,128,0.9,32,2,7,1
177,6,28,0.04873429100990295,0.98482,36.34397554397583,1020.1125237941742,0.6555,2154430,0.01,128,0.9,32,2,7,1
178,6,29,0.03799691631913185,0.98816,36.368420362472534,1056.4959042072296,0.6465,2154430,0.01,128,0.9,32,2,7,1
179,6,30,0.03808047523498535,0.98822,36.37765169143677,1092.8894817829132,0.6511,2154430,0.01,128,0.9,32,2,7,1
180,7,1,2.2159500869750977,0.16636,55.995052337646484,56.20848083496094,0.2445,3773950,0.01,128,0.9,64,2,3,1
181,7,2,1.7881175820922852,0.34898,56.22567915916443,112.45007872581482,0.437,3773950,0.01,128,0.9,64,2,3,1
182,7,3,1.4665955514526368,0.4682,56.11897373199463,168.58497643470764,0.5104,3773950,0.01,128,0.9,64,2,3,1
183,7,4,1.262614500427246,0.54704,56.190847635269165,224.79173374176025,0.5908,3773950,0.01,128,0.9,64,2,3,1
184,7,5,1.0792418420410157,0.61946,56.28544473648071,281.0941061973572,0.6353,3773950,0.01,128,0.9,64,2,3,1
185,7,6,0.9231479344177246,0.67588,56.307305335998535,337.41835284233093,0.6715,3773950,0.01,128,0.9,64,2,3,1
186,7,7,0.7910906582641601,0.72474,56.2317111492157,393.6669862270355,0.6862,3773950,0.01,128,0.9,64,2,3,1
187,7,8,0.6702443202972412,0.76648,56.21995210647583,449.90489077568054,0.6967,3773950,0.01,128,0.9,64,2,3,1
