,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,weight_decay,p,num_drop_layers,pretrained
119,4,30,0.000378337,1,41.21234179,2219.985066,0.9016,11181642,0.001,32,0.9,0.001,0.1,4,"[True, 'all']"
120,5,1,1.440567624,0.5176,42.29280949,43.96637368,0.7444,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
121,5,2,0.784931541,0.7316,41.22319126,118.7797627,0.6321,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
122,5,3,0.49662871,0.8308,41.21091413,193.4751577,0.6433,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
123,5,4,0.379507514,0.87,41.21874499,268.3799024,0.7608,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
124,5,5,0.238890391,0.9126,41.1935184,343.2882633,0.8211,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
125,5,6,0.231192334,0.9134,41.19919038,417.9854052,0.8112,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
126,5,7,0.173170823,0.9364,41.21444726,492.8701534,0.8432,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
127,5,8,0.121889328,0.9546,41.24261379,567.9153702,0.8427,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
128,5,9,0.101375944,0.966,41.22704649,642.9339395,0.8692,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
129,5,10,0.088238457,0.9722,41.17141938,717.6672449,0.8691,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
130,5,11,0.048767282,0.984,41.27298689,792.8575583,0.8264,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
131,5,12,0.053574648,0.981,41.23594189,867.8183374,0.8791,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
132,5,13,0.039610856,0.9882,41.24528956,942.6867359,0.8806,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
133,5,14,0.02968851,0.99,41.17742705,1017.608334,0.8685,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
134,5,15,0.026012839,0.9912,41.26256061,1092.592714,0.8823,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
135,5,16,0.024144147,0.9918,41.23406363,1167.477843,0.8598,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
136,5,17,0.01485345,0.9954,41.1215539,1242.544739,0.8921,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
137,5,18,0.008927693,0.9978,41.16959882,1317.633627,0.8969,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
138,5,19,0.012638152,0.9956,41.22698545,1392.638309,0.8701,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
139,5,20,0.014458139,0.9952,41.15296006,1467.43318,0.8794,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
140,5,21,0.008940849,0.9976,41.23587227,1542.287045,0.8934,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
141,5,22,0.003155695,0.9992,41.23119807,1617.158308,0.9005,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
142,5,23,0.002899874,0.999,41.20497823,1692.013943,0.8939,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
143,5,24,0.001864258,0.9994,41.31212521,1767.309272,0.8956,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
144,5,25,0.000831061,1,41.50469851,1841.397767,0.8925,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
145,5,26,0.016299266,0.9944,41.3800714,1915.370533,0.8872,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
146,5,27,0.011828856,0.9962,41.41354156,1989.570302,0.8755,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
147,5,28,0.003198005,0.9996,41.47135758,2063.718194,0.9008,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
148,5,29,0.001162811,1,41.35780048,2137.745654,0.8983,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
149,5,30,0.00085231,1,41.43567777,2211.725598,0.8998,11181642,0.001,32,0.9,0.001,0.1,5,"[True, 'all']"
150,6,1,1.32962598,0.5624,42.11997986,43.78067994,0.7817,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
151,6,2,0.730242594,0.7492,41.06140733,117.187449,0.6461,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
152,6,3,0.423494095,0.8578,40.98350334,190.3908713,0.7798,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
153,6,4,0.282849195,0.9028,41.01705575,263.9644055,0.791,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
154,6,5,0.225616101,0.9238,41.02392173,337.0987473,0.7969,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
155,6,6,0.17927854,0.9374,41.06011009,410.4571297,0.7625,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
156,6,7,0.140256426,0.952,41.03220415,483.8039882,0.8409,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
157,6,8,0.11324741,0.962,41.04511213,557.1138134,0.8486,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
158,6,9,0.083578956,0.9728,41.09869933,630.4022291,0.8627,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
159,6,10,0.028752077,0.9912,41.07794046,703.8117738,0.8888,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
160,6,11,0.028714246,0.9916,41.12038827,777.3382714,0.8818,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
161,6,12,0.032548036,0.9904,41.08195686,850.5722716,0.8807,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
162,6,13,0.011850738,0.9976,40.97612309,923.7344315,0.8858,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
163,6,14,0.008450111,0.9974,40.9994452,996.918484,0.8937,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
164,6,15,0.008900602,0.9976,41.04112148,1070.184932,0.8904,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
165,6,16,0.004119578,0.999,41.11414599,1143.470262,0.8968,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
166,6,17,0.003847571,0.999,40.94154644,1216.776188,0.9003,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
167,6,18,0.00093819,1,41.03689098,1289.960135,0.9024,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
168,6,19,0.000502529,1,41.02348351,1363.230472,0.9014,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
169,6,20,0.000438682,1,41.08201218,1436.863887,0.9032,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
170,6,21,0.000385995,1,41.01653385,1509.973997,0.9022,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
171,6,22,0.0003557,1,40.99377012,1583.239285,0.9046,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
172,6,23,0.000392323,1,40.99340796,1656.420243,0.9013,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
173,6,24,0.000398438,1,41.00717354,1729.719085,0.9008,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
174,6,25,0.001396537,0.9998,40.99324775,1803.102441,0.9017,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
175,6,26,0.000442612,1,40.95863152,1876.170304,0.9009,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
176,6,27,0.000429447,1,40.99017239,1949.493036,0.8993,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
177,6,28,0.000324464,1,40.9226985,2022.752281,0.9036,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
178,6,29,0.000291457,1,40.93814421,2095.98409,0.9016,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
179,6,30,0.000382234,1,40.95545745,2169.151508,0.9035,11181642,0.001,32,0.9,0.001,0.2,1,"[True, 'all']"
180,7,1,1.358651255,0.5512,42.02861023,43.52064848,0.6862,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
181,7,2,0.740900273,0.7484,40.99548483,116.7849174,0.7243,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
182,7,3,0.438670811,0.8468,40.99689698,190.0884285,0.7597,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
183,7,4,0.303396214,0.8944,40.9948051,263.3320339,0.8273,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
184,7,5,0.23716581,0.919,41.01672316,336.6165819,0.7751,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
185,7,6,0.161861843,0.942,41.00595331,409.9271998,0.7877,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
186,7,7,0.138319874,0.949,41.0210166,483.2698069,0.8619,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
187,7,8,0.08767775,0.9678,41.02152443,556.6072621,0.8574,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
188,7,9,0.082079764,0.9698,41.05582452,630.1480529,0.8677,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
189,7,10,0.031011136,0.9892,41.05327463,703.5987144,0.8931,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
190,7,11,0.033307417,0.9896,41.03537059,777.2179463,0.8824,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
191,7,12,0.023469394,0.992,41.02062631,850.8551984,0.8791,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
192,7,13,0.026138229,0.9908,41.029526,924.1962764,0.8994,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
193,7,14,0.009781485,0.9976,40.99057555,997.7707453,0.8898,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
194,7,15,0.005232761,0.9982,41.03928566,1071.036873,0.8962,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
195,7,16,0.002075387,0.9998,41.0465281,1144.310642,0.899,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
196,7,17,0.000890977,1,41.05511618,1217.673369,0.8987,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
197,7,18,0.000603545,1,41.06092954,1291.173629,0.8996,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
198,7,19,0.000382561,1,41.08208251,1364.535387,0.9021,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
199,7,20,0.000478255,1,41.0438652,1437.874882,0.8992,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
200,7,21,0.000518671,1,41.00669909,1511.141306,0.8988,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
201,7,22,0.000456455,1,41.03124285,1584.353125,0.9014,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
202,7,23,0.00079101,1,41.00810647,1657.735679,0.8981,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
203,7,24,0.000391013,1,41.042027,1731.080836,0.9027,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
204,7,25,0.000407471,1,41.02146339,1804.401809,0.8993,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
205,7,26,0.00028253,1,40.97858334,1877.575319,0.9015,11181642,0.001,32,0.9,0.001,0.2,2,"[True, 'all']"
